Code,Name,결산월,상장폐지일,상장폐지사유
A042570,퓨쳐비젼,12.0,20080412.0,자본전액잠식
A042820,어울림 네트,12.0,20121117.0,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정
A042870,에코페트로시스템,12.0,20111006.0,감사의견거절(감사범위 제한 및 계속기업으로서의 존속능력에 대한 불확실성)
A042960,창민테크,12.0,20050413.0,감사의견거절(20050328)
A043580,에임하이,12.0,20180810.0,감사의견거절(감사범위 제한)
A043630,지앤알,12.0,20110429.0,감사의견거절(감사범위 제한 및 계속기업으로서의 존속능력에 대한 불확실성)
A043680,스톰이앤에프,12.0,20110413.0,자본전액잠식 등
A043690,테크메이트,12.0,20041016.0,최종부도(20041001)
A043790,옥션,12.0,20041206.0,자진등록취소
A043890,한빛방송,12.0,20121101.0,상장폐지 신청('12.09.26)
A044070,한서제약,12.0,20090825.0,피흡수합병
A044370,조이토토,12.0,20080503.0,감사의견거절(감사범위제한)
A044440,솔빛미디어,12.0,20050426.0,감사의견거절(20050411)
A044570,한빛전자통신,12.0,20020607.0,등록취소결정에 대한 이의신청기각 의결
A044640,동부CNI,12.0,20101122.0,피흡수합병
A044770,에이엠에스,12.0,20091007.0,"자본전액잠식, 2반기 연속 자본잠식률 50%이상, 2반기 연속 자기자본 10억원 미만"
A045050,큐리어스,12.0,20121127.0,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정"
A045240,뉴씨앤씨,12.0,20030404.0,감사의견거절
A045260,디에이치패션,12.0,20120801.0,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정"
A045290,포네이처,12.0,20100423.0,사업보고서 법정제출기한 익일부터 10일이내 미제출
A045310,이레전자산업,12.0,20070508.0,자본전액잠식
A045380,더존디지털,12.0,20091209.0,피흡수합병
A045400,이롬텍,10.0,20100211.0,"정기보고서 미제출로 관리종목 지정후 법정제출기한내 사업보고서 미제출, 2회 연속 정기주주총회 미개최 또는 재무제표 미승인, 자본전액잠식"
A045470,에이프로테크놀로지,12.0,20120424.0,사업보고서 법정제출기한 익일부터 10일 이내 미제출 등
A045760,한통데이타,12.0,20080613.0,감사의견거절(감사범위제한)
A045880,유티엑스,9.0,20100410.0,"기업의 계속성, 경영의 투명성 등 고려하여 상장폐지 인정"
A045920,화림모드,12.0,20031017.0,최종부도 및 은행거래정지
A046000,모디아,12.0,20040811.0,감사의견부적정
A046240,에스브이에이치,12.0,20110212.0,"기업의 계속성, 경영의 투명성 등 고려하여 상장폐지 인정"
A046320,MTRON,12.0,20090828.0,2회연속 자본잠식률 50%이상 및 자기자본 10억원 미만
A046350,에듀아크,12.0,20100413.0,3회 연속 자기자본 50%초과 법인세비용차감전계속사업손실
A046400,루트원플러스,12.0,20140902.0,감사의견거절(감사범위제한)
A046430,알에스넷,6.0,20121205.0,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정"
A046720,엔하이테크,12.0,20120201.0,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정
