Code,Name,결산월,상장폐지일,상장폐지사유
A018020,스타리스,3,2003-11-18,주가수준 미달 후 60일간 20/100미만 연속 10일 이상
A018360,삼성메디슨,12,2002-04-27,2001사업년도 외부감사인의 감사의견거절
A018410,현대금속,12,2010-05-13,감사의견 의견거절
A018550,한국안전유리,12,2000-05-04,상장폐지 신청
A018570,선진금속,12,2002-05-21,자본전액잠식2년계속
A018590,KNC,12,2004-01-24,최종부도발생
A018690,신정제지,12,1994-10-13,"부도발생 및 은행거래정지, 공시서류미제출"
A019300,태림페이퍼,12,2016-08-11,신청에 의한 상장폐지
A019380,신강제지,9,1996-08-14,온양펄프에 피흡수 합병으로인한 폐지
A019930,기라정보통신,12,2004-02-12,화의절차 개시 신청기각
A021170,고려석유화학,12,1999-03-22,㈜고합에 피흡수합병으로 인한 해산
A021600,대동은행,12,1999-02-25,영업인가취소에 따른 해산사유발생
A021960,KB캐피탈,12,2017-07-21,지주회사의 완전자회사화
A022520,코오롱아이넷,12,2012-01-11,해산 사유 발생
A023130,국민은행,12,2001-11-09,(주)한국주택은행과의 합병으로 신설은행 설립에 따른 해산
A024100,제일저축은행,6,2011-10-14,자본금전액잠식 및 감사인의 감사의견거절
A024870,유성티에스아이,12,2010-05-03,감사의견 의견거절
A024960,영남종합금융,3,2001-02-10,해산사유발생
