Code,상장폐지일,상장폐지사유
A016070,19960228.0,상장폐지 유예기간의 종료
A016090,,
A016160,20110426.0,사업보고서 미제출(법정제출기한부터 10일 이내 미제출)
A016350,19980715.0,영업인가취소에 따른 해산사유발생
A016360,,
A016380,,
A016390,20000829.0,영업인가 취소에 따른 해산
A016420,20150120.0,해산 사유 발생
A016430,19960814.0,온양펄프에 피흡수 합병으로인한 폐지
A016450,,
A016480,19980715.0,영업인가취소에 따른 해산사유발생
A016490,19941013.0,"부도발생 및 은행거래정지, 공시서류미제출"
A016500,19980715.0,영업인가취소에 따른 해산사유발생
A016510,20110718.0,(주)현대백화점에 피흡수합병으로 인한 해산
A016550,20020419.0,2001사업년도 외부감사인의 감사의견거절
A016560,20121017.0,자본잠식(자본금의 50/100이상 잠식) 2년 계속
A016570,20130315.0,신청에 의한 상장폐지
A016580,,
A016590,,
A016610,,
A016640,19991002.0,상장폐지유예기간종료(중요 영업용자산처분(주요자산경매))
A016680,19991027.0,상장폐지유예기간종료(영업활동정지 및 회사정리절차개시신청기각)
A016690,19980715.0,영업인가취소에 따른 해산사유발생
A016710,,
A016740,,
A016800,,
A016830,20040713.0,자진상장폐지신청
A016880,,
A016970,20060713.0,"감사의견 의견거절, 자본금의 100분의 50이상 잠식 2년 계속, 사업보고서 미제출"
A017040,,
A017070,19951208.0,회사정리절차 폐지확정으로 상장폐지유예기간 종료
A017110,19980715.0,영업인가취소에 따른 해산사유발생
A017120,20010710.0,화의인가취소결정
A017170,20110513.0,감사의견 의견거절
A017180,,
A017300,20100415.0,최근 사업연도의 사업보고서상 자본전액잠식
A017320,20010426.0,공시서류미제출
A017370,,
A017390,,
A017550,,
A017670,,
A017800,,
A017810,,
A017900,,
A017940,,
A017960,,
A018020,20031118.0,주가수준 미달 후 60일간 20/100미만 연속 10일 이상
A018250,,
A018260,,
A018360,20020427.0,2001사업년도 외부감사인의 감사의견거절
A018410,20100513.0,감사의견 의견거절
A018470,,
A018500,,
A018550,20000504.0,상장폐지 신청
A018570,20020521.0,자본전액잠식2년계속
A018590,20040124.0,최종부도발생
A018670,,
A018690,19941013.0,"부도발생 및 은행거래정지, 공시서류미제출"
A018880,,
A019170,,
A019180,,
A019300,20160811.0,신청에 의한 상장폐지
A019380,19960814.0,온양펄프에 피흡수 합병으로인한 폐지
A019440,,
A019490,,
A019680,,
A019930,20040212.0,화의절차 개시 신청기각
A020000,,
A020120,,
A020150,,
A020560,,
A020760,,
A021050,,
A021170,19990322.0,㈜고합에 피흡수합병으로 인한 해산
A021240,,
A021600,19990225.0,영업인가취소에 따른 해산사유발생
A021820,,
A021960,20170721.0,지주회사의 완전자회사화
A022520,20120111.0,해산 사유 발생
A023000,,
A023130,20011109.0,(주)한국주택은행과의 합병으로 신설은행 설립에 따른 해산
A023150,,
A023350,,
A023450,,
A023530,,
A023590,,
A023800,,
A023810,,
A023960,,
A024070,,
A024090,,
A024100,20111014.0,자본금전액잠식 및 감사인의 감사의견거절
A024110,,
A024720,,
A024870,20100503.0,감사의견 의견거절
A024890,,
A024900,,
A024960,20010210.0,해산사유발생
A025000,,
A025530,,
A025540,,
A025560,,
