Code,Name,결산월,WICS업종코드(대),WICS업종명(중),WICS업종명(소)
A031390,녹십자셀,12.0,G35,제약과생물공학,생물공학
A031510,오스템,12.0,G25,자동차와부품,자동차부품
A031800,ST&I,12.0,,,
A031860,엔에스엔,12.0,G25,내구소비재와의류,레저용장비와제품
A031920,신민저축은행,6.0,,,
A031950,에듀패스,12.0,,,
A031960,동산진흥,12.0,,,
A031970,엠바이엔,12.0,,,
A031980,피에스케이,12.0,G45,반도체와반도체장비,반도체와반도체장비
A031990,대선조선,12.0,,,
A032030,일공공일안경,12.0,,,
A032040,C&S자산관리,12.0,,,
A032050,후야인포넷,12.0,,,
A032080,아즈텍WB,12.0,G25,내구소비재와의류,"섬유,의류,신발,호화품"
A032150,으뜸상호저축은행,6.0,,,
A032180,이수세라믹,12.0,,,
A032190,다우데이타,12.0,G45,소프트웨어와서비스,소프트웨어
A032280,삼일,12.0,G20,운송,항공화물운송과물류
A032290,알티전자,12.0,,,
A032380,핸디소프트,12.0,,,
A032390,KTF,12.0,,,
A032420,터보테크,12.0,,,
A032500,케이엠더블유,12.0,G45,기술하드웨어와장비,통신장비
A032540,TJ미디어,12.0,G45,전자와 전기제품,전자제품
A032570,카라반케이디이,12.0,,,
A032580,피델릭스,12.0,G45,반도체와반도체장비,반도체와반도체장비
A032590,엔토리노,12.0,,,
A032600,한국디지탈라인,12.0,,,
A032610,에스오케이,12.0,,,
A032620,유비케어,12.0,G35,건강관리장비와서비스,건강관리기술
A032680,소프트센,12.0,G45,소프트웨어와서비스,IT서비스
A032750,삼진,12.0,G45,전자와 전기제품,전자제품
A032780,테라,12.0,,,
A032790,엠젠플러스,12.0,G45,기술하드웨어와장비,컴퓨터와주변기기
A032800,판타지오,12.0,G25,미디어,방송과엔터테인먼트
A032820,우리기술,12.0,G45,기술하드웨어와장비,전자장비와기기
A032850,비트컴퓨터,12.0,G35,건강관리장비와서비스,건강관리기술
A032860,GMR 머티리얼즈,12.0,G15,소재,철강
A032930,에이스앤파트너스,12.0,,,
A032940,원익,12.0,G35,건강관리장비와서비스,건강관리장비와용품
A032960,동일기연,12.0,G45,기술하드웨어와장비,전자장비와기기
A032970,카인드웨어서울,12.0,,,
A032980,바이온,12.0,G35,제약과생물공학,제약
A033020,세아메탈,12.0,,,
A033030,지오엠씨,12.0,,,
A033040,세림아이텍,12.0,,,
A033050,제이엠아이,12.0,G45,디스플레이,디스플레이장비및부품
A033070,삼한콘트롤스,12.0,,,
A033100,제룡전기,12.0,G20,자본재,전기장비
A033110,이디,12.0,G45,기술하드웨어와장비,전자장비와기기
A033130,디지틀조선,12.0,G45,소프트웨어와서비스,인터넷소프트웨어와서비스
A033160,엠케이전자,12.0,G45,반도체와반도체장비,반도체와반도체장비
A033170,시그네틱스,12.0,G45,반도체와반도체장비,반도체와반도체장비
A033190,폴켐,12.0,,,
A033200,모아텍,3.0,G45,기술하드웨어와장비,전자장비와기기
A033210,삼화기연,12.0,,,
A033220,남성알미늄,12.0,,,
A033230,인성정보,12.0,G45,기술하드웨어와장비,통신장비
A033260,쌈지,12.0,,,
A033280,어울림엘시스,12.0,,,
A033290,코웰패션,12.0,G25,내구소비재와의류,"섬유,의류,신발,호화품"
A033300,보성인터내셔날,12.0,,,
A033310,디케이디앤아이,12.0,G15,소재,포장재
A033320,제이씨현시스템,12.0,G45,기술하드웨어와장비,전자장비와기기
A033330,두림티앤씨,12.0,,,
A033340,좋은사람들,12.0,G25,내구소비재와의류,"섬유,의류,신발,호화품"
A033350,대진정밀화학,12.0,,,
A033430,디에스티,12.0,G20,자본재,기계
A033500,동성화인텍,12.0,G20,자본재,조선
A033510,어필텔레콤,12.0,,,
A033540,파라텍,12.0,G20,자본재,기계
A033550,룩손에너지,12.0,,,
A033560,블루콤,12.0,G45,기술하드웨어와장비,핸드셋
A033600,에이코넬,12.0,G25,자동차와부품,자동차부품
A033630,SK브로드밴드,12.0,,,
A033640,네패스,12.0,G45,반도체와반도체장비,반도체와반도체장비
A033720,블루스톤,12.0,,,
A033790,스카이문스테크놀로지,12.0,G45,기술하드웨어와장비,통신장비
A033830,티비씨,12.0,G25,미디어,방송과엔터테인먼트
A033850,지노시스템,12.0,,,
A033880,블루멈,12.0,,,
A034010,트라이써클,12.0,,,
A034230,파라다이스,12.0,G25,"호텔,레스토랑,레저등","호텔,레스토랑,레저"
A034510,무한투자,12.0,,,
A034600,글로웍스,9.0,,,
A034660,제넥셀,12.0,,,
A034750,디씨씨,12.0,,,
A034810,해성산업,12.0,G40,부동산,부동산
A034940,조아제약,12.0,G35,제약과생물공학,제약
A034950,한국기업평가,12.0,G40,기타금융서비스,신용평가서비스
A034970,올에버,12.0,,,
A034980,이론테크놀로지,12.0,,,
A035010,소예,6.0,,,
A035080,인터파크홀딩스,12.0,G25,소매(유통),인터넷과카탈로그소매
A035200,프럼파스트,12.0,G20,자본재,건축제품
A035210,티브로드도봉강북방송,12.0,,,
A035270,청람디지탈,12.0,,,
A035290,더블유에프엠,12.0,G25,교육서비스,교육서비스
A035400,브이에스에스티,12.0,,,
A035430,드림라인,12.0,,,
A035450,지아이바이오,12.0,,,
A035460,기산텔레콤,12.0,G45,기술하드웨어와장비,통신장비
A035480,마제스타,12.0,G25,"호텔,레스토랑,레저등","호텔,레스토랑,레저"
A035500,써니트렌드,12.0,,,
A035600,KG이니시스,12.0,G45,소프트웨어와서비스,IT서비스
A035610,솔본,12.0,G35,건강관리장비와서비스,건강관리기술
A035620,바른손이앤에이,12.0,G45,소프트웨어와서비스,게임소프트웨어와서비스
A035710,CL,12.0,,,
A035760,CJ ENM,12.0,G25,미디어,방송과엔터테인먼트
A035780,그로웰텔레콤,12.0,,,
A035810,이지바이오,12.0,G30,"식품,음료,담배",식품
A035830,메카포럼,12.0,,,
A035870,호성,12.0,,,
A035890,서희건설,12.0,G20,자본재,건설
A035900,JYP Ent.,12.0,G25,미디어,방송과엔터테인먼트
A035910,현대멀티캡,12.0,,,
A035950,케이알,3.0,,,
A035960,바이오시스,12.0,,,
A036000,예림당,12.0,G20,운송,항공사
A036010,아비코전자,12.0,G45,전자와 전기제품,전기제품
A036020,한아시스템,12.0,,,
A036030,KTH,12.0,G45,소프트웨어와서비스,인터넷소프트웨어와서비스
A036090,위지트,12.0,G45,디스플레이,디스플레이장비및부품
A036120,SCI평가정보,12.0,G40,기타금융서비스,신용평가서비스
A036170,씨티젠,12.0,G45,디스플레이,디스플레이장비및부품
A036180,영인프런티어,12.0,G35,제약과생물공학,생명과학도구및서비스
A036190,금화피에스시,12.0,G20,자본재,건설
A036200,유니셈,12.0,G45,반도체와반도체장비,반도체와반도체장비
A036210,태산엘시디,12.0,,,
A036220,오상헬스케어,12.0,,,
A036260,이매진아시아,12.0,G25,미디어,방송과엔터테인먼트
A036270,헤쎄나,12.0,,,
A036280,뉴켐진스템셀,12.0,,,
A036360,3SOFT,12.0,,,
A036420,제이콘텐트리,12.0,G25,미디어,방송과엔터테인먼트
A036480,대성미생물,12.0,G35,제약과생물공학,제약
A036490,SK머티리얼즈,12.0,G45,디스플레이,디스플레이장비및부품
A036500,에스에스컴텍,12.0,,,
A036540,SFA반도체,12.0,G45,반도체와반도체장비,반도체와반도체장비
A036550,에이스디지텍,12.0,,,
A036560,영풍정밀,12.0,G20,자본재,기계
A036590,케이엔티,12.0,,,
A036600,지니웍스,12.0,,,
A036610,지디코프,12.0,,,
A036620,버추얼텍,12.0,G15,소재,종이와목재
A036630,세종텔레콤,12.0,G50,통신서비스,다각화된통신서비스
A036640,HRS,12.0,G15,소재,화학
A036660,플러스프로핏,6.0,,,
A036670,KCI,12.0,G15,소재,화학
