Code,Name,결산월,WICS업종코드(대),WICS업종명(중),WICS업종명(소)
A009270,신원,12,G25,내구소비재와의류,"섬유,의류,신발,호화품"
A009280,다함이텍,12,,,
A009290,광동제약,12,G35,제약과생물공학,제약
A009310,참엔지니어링,12,G45,디스플레이,디스플레이장비및부품
A009320,대우부품,12,G25,자동차와부품,자동차부품
A009330,삼애인더스,6,,,
A009360,베네데스하이텍,12,,,
A009380,아세아페이퍼텍,12,,,
A009400,케이와이씨,12,,,
A009410,태영건설,12,G20,자본재,건설
A009420,한올바이오파마,12,G35,제약과생물공학,제약
A009440,KC그린홀딩스,12,G20,자본재,기계
A009450,경동나비엔,12,G25,내구소비재와의류,가정용기기와용품
A009460,한창제지,12,G15,소재,포장재
A009470,삼화전기,12,G45,전자와 전기제품,전기제품
A009540,현대중공업,12,G20,자본재,조선
A009580,무림P&P,12,G15,소재,종이와목재
A009650,현대자동차써비스,12,,,
A009680,모토닉,12,G25,자동차와부품,자동차부품
A009690,케이엠에이치,12,,,
A009720,전기초자,12,,,
A009760,한국컴퓨터지주,12,,,
A009770,삼정펄프,12,G30,가정용품과개인용품,가정용품
A009790,휴닉스,12,,,
A009810,엔케이물산,12,G15,소재,포장재
A009830,한화케미칼,12,G15,소재,화학
A009840,갑을,12,,,
A009890,맥슨텔레콤,12,,,
A009940,대아리드선,12,,,
A009970,영원무역홀딩스,12,G25,내구소비재와의류,"섬유,의류,신발,호화품"
A009990,미우,12,,,
A010000,금성계전,12,,,
A010030,흥양,12,,,
A010040,한국내화,12,G15,소재,비철금속
A010050,우리종금,12,G40,다각화된금융,기타금융
A010060,OCI,12,G15,소재,화학
A010090,이마트에브리데이,12,,,
A010100,한국프랜지,12,G25,자동차와부품,자동차부품
A010110,고려화학,12,,,
A010120,LS산전,12,G20,자본재,전기장비
A010130,고려아연,12,G15,소재,비철금속
A010140,삼성중공업,12,G20,자본재,조선
A010150,포스코티엠씨,12,,,
A010200,극동제혁,12,,,
A010220,한솔종합금융,3,,,
A010330,라미화장품,12,,,
A010400,우진아이엔에스,12,G20,자본재,건설
A010420,한솔PNS,12,G25,소매(유통),전문소매
A010460,화인자산관리,12,,,
A010510,일진,12,,,
A010520,현대하이스코,12,,,
A010530,라이프주택개발,12,,,
A010580,지코,12,G25,자동차와부품,자동차부품
A010600,웰바이오텍,12,G25,내구소비재와의류,"섬유,의류,신발,호화품"
A010620,현대미포조선,12,G20,자본재,조선
A010640,진양폴리,12,G15,소재,화학
A010660,화천기계,12,G20,자본재,기계
A010690,화신,12,G25,자동차와부품,자동차부품
A010730,금강화섬,9,,,
A010770,평화홀딩스,12,G25,자동차와부품,자동차부품
A010780,아이에스동서,12,G20,자본재,건설
A010820,퍼스텍,12,G20,자본재,우주항공과국방
A010910,제일냉동,12,,,
A010950,S-Oil,12,G10,에너지,석유와가스
A010960,삼호개발,12,G20,자본재,건설
A010970,한주화학,12,,,
A011000,진원생명과학,12,G35,제약과생물공학,생물공학
A011020,코오롱유화,12,,,
A011050,케드콤,12,,,
A011070,LG이노텍,12,G45,기술하드웨어와장비,전자장비와기기
A011090,에넥스,12,G20,자본재,가구
A011150,CJ씨푸드,12,G30,"식품,음료,담배",식품
A011160,두산건설,12,G20,자본재,건설
A011170,롯데케미칼,12,G15,소재,화학
A011180,동국방직,12,,,
A011200,현대상선,12,G20,운송,해운사
A011210,현대위아,12,G25,자동차와부품,자동차부품
A011230,삼화전자,12,G45,기술하드웨어와장비,전자장비와기기
A011260,한국종합금융,3,,,
A011280,태림포장,12,G15,소재,포장재
A011290,갑을방적,12,,,
A011300,성안,12,G25,내구소비재와의류,"섬유,의류,신발,호화품"
A011330,유니켐,12,G25,내구소비재와의류,"섬유,의류,신발,호화품"
A011390,부산산업,12,G20,자본재,건축자재
A011400,케이씨오에너지,12,,,
A011420,갤럭시아에스엠,12,G25,미디어,방송과엔터테인먼트
A011450,송원칼라,12,,,
A011470,기산,12,,,
A011500,한농화성,12,G15,소재,화학
A011510,청구,12,,,
A011540,삼신,12,,,
A011650,엘지정보통신,12,,,
A011690,유양디앤유,12,G45,디스플레이,디스플레이장비및부품
A011700,한신기계,12,G20,자본재,기계
A011720,현대페인트,12,,,
A011760,현대상사,12,G20,자본재,무역회사와판매업체
A011780,금호석유,12,G15,소재,화학
A011790,SKC,12,G15,소재,화학
A011800,배명금속,12,,,
A011810,STX,12,G20,자본재,무역회사와판매업체
A011820,한국물산,12,,,
A011840,계몽사,9,,,
A011880,현대종합금융,3,,,
A011930,신성이엔지,12,G10,에너지,에너지장비및서비스
A011940,태영판지공업,12,,,
A011960,새한종합금융,3,,,
A012030,DB,12,G45,소프트웨어와서비스,IT서비스
A012050,우진전기,12,,,
A012090,성원건설,12,,,
A012150,동방개발,12,,,
A012160,영흥철강,12,G15,소재,철강
